[ 2013-12-18T16:10:00+08:00 ] /skybroad/index.php/Admin/Advert/index/mid/11 | SQL: SHOW COLUMNS FROM `m_advert` [ RunTime:0.001796s ]
[ 2013-12-18T16:10:00+08:00 ] /skybroad/index.php/Admin/Advert/index/mid/11 | SQL: SHOW COLUMNS FROM `m_categorys` [ RunTime:0.001355s ]
[ 2013-12-18T16:10:00+08:00 ] /skybroad/index.php/Admin/Advert/index/mid/11 | SQL: SELECT `id` FROM `m_categorys` WHERE ( `model_id` = '11' ) AND ( `fid` = 1 ) ORDER BY id asc LIMIT 1  [ RunTime:0.000617s ]
[ 2013-12-18T16:10:00+08:00 ] /skybroad/index.php/Admin/Advert/index/mid/11 | NOTIC: [8] Undefined index:  rowpage AdminAction.class.php 第 357 行.
[ 2013-12-18T16:10:00+08:00 ] /skybroad/index.php/Admin/Advert/index/mid/11 | NOTIC: [8] Undefined index:  searchKey AdminAction.class.php 第 358 行.
[ 2013-12-18T16:10:00+08:00 ] /skybroad/index.php/Admin/Advert/index/mid/11 | SQL: SELECT COUNT(*) AS tp_count FROM `m_advert` WHERE ( category_id like '180%' ) LIMIT 1  [ RunTime:0.000296s ]
[ 2013-12-18T16:10:00+08:00 ] /skybroad/index.php/Admin/Advert/index/mid/11 | SQL: SELECT * FROM `m_advert` WHERE ( category_id like '180%' ) ORDER BY `id` desc LIMIT 0,12  [ RunTime:0.000287s ]
[ 2013-12-18T16:10:00+08:00 ] /skybroad/index.php/Admin/Advert/index/mid/11 | NOTIC: [2048] Creating default object from empty value CommonAction.class.php 第 52 行.
[ 2013-12-18T16:10:00+08:00 ] /skybroad/index.php/Admin/Advert/index/mid/11 | NOTIC: [8] Undefined index:  cid cfc9dc5e7b96a6cfb24aa8d6a0cf6d8b.php 第 14 行.
[ 2013-12-18T16:10:00+08:00 ] /skybroad/index.php/Admin/Advert/index/mid/11 | NOTIC: [8] Undefined index:  cid cfc9dc5e7b96a6cfb24aa8d6a0cf6d8b.php 第 24 行.
[ 2013-12-18T16:10:00+08:00 ] /skybroad/index.php/Admin/Advert/index/mid/11 | SQL: SHOW COLUMNS FROM `m_modelconfig` [ RunTime:0.001245s ]
[ 2013-12-18T16:10:00+08:00 ] /skybroad/index.php/Admin/Advert/index/mid/11 | SQL: SELECT `modelname` FROM `m_modelconfig` WHERE id=11 LIMIT 1  [ RunTime:0.000251s ]
[ 2013-12-18T16:10:00+08:00 ] /skybroad/index.php/Admin/Advert/index/mid/11 | NOTIC: [8] Undefined index:  cid cfc9dc5e7b96a6cfb24aa8d6a0cf6d8b.php 第 26 行.
[ 2013-12-18T16:10:00+08:00 ] /skybroad/index.php/Admin/Advert/index/mid/11 | SQL: SELECT `title` FROM `m_categorys` WHERE ( `id` = '18010' ) LIMIT 1  [ RunTime:0.000241s ]
[ 2013-12-18T16:10:00+08:00 ] /skybroad/index.php/Admin/Advert/index/mid/11 | SQL: SELECT `title` FROM `m_categorys` WHERE ( `id` = '18010' ) LIMIT 1  [ RunTime:0.000225s ]
[ 2013-12-18T16:10:00+08:00 ] /skybroad/index.php/Admin/Index/sidemenu/mid/11 | SQL: SHOW COLUMNS FROM `m_categorys` [ RunTime:0.000995s ]
[ 2013-12-18T16:10:00+08:00 ] /skybroad/index.php/Admin/Index/sidemenu/mid/11 | SQL: SELECT m_categorys.*,m_modelconfig.modelaction FROM `m_categorys` LEFT JOIN m_modelconfig on(m_modelconfig.id=m_categorys.model_id) WHERE ( m_categorys.fid = 1 ) AND ( m_categorys.model_id = '11' ) ORDER BY m_categorys.id asc [ RunTime:0.000396s ]
[ 2013-12-18T16:10:00+08:00 ] /skybroad/index.php/Admin/Index/sidemenu/mid/11 | NOTIC: [8] Undefined index:  access e488c14ec6265e83d7afc8f2ff16ec26.php 第 52 行.
[ 2013-12-18T16:10:00+08:00 ] /skybroad/index.php/Admin/Index/sidemenu/mid/11 | SQL: SHOW COLUMNS FROM `m_modelconfig` [ RunTime:0.001261s ]
[ 2013-12-18T16:10:00+08:00 ] /skybroad/index.php/Admin/Index/sidemenu/mid/11 | SQL: SELECT `modelaction` FROM `m_modelconfig` WHERE id=11 LIMIT 1  [ RunTime:0.000262s ]
[ 2013-12-18T16:10:00+08:00 ] /skybroad/index.php/Admin/Index/sidemenu/mid/11 | SQL: SELECT * FROM `m_categorys` WHERE fid=180 [ RunTime:0.000385s ]
[ 2013-12-18T16:10:00+08:00 ] /skybroad/index.php/Admin/Index/sidemenu/mid/11 | SQL: SELECT `modelaction` FROM `m_modelconfig` WHERE id=11 LIMIT 1  [ RunTime:0.000221s ]
[ 2013-12-18T16:10:03+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | SQL: SHOW COLUMNS FROM `m_advert` [ RunTime:0.001376s ]
[ 2013-12-18T16:10:03+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | SQL: SHOW COLUMNS FROM `m_categorys` [ RunTime:0.000928s ]
[ 2013-12-18T16:10:03+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | SQL: SELECT `tpl_one` FROM `m_categorys` WHERE ( `id` = '18010' ) LIMIT 1  [ RunTime:0.000263s ]
[ 2013-12-18T16:10:03+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | SQL: SELECT * FROM `m_advert` WHERE ( `id` = '48' ) LIMIT 1  [ RunTime:0.000277s ]
[ 2013-12-18T16:10:03+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | SQL: SHOW COLUMNS FROM `m_category` [ RunTime:0.001130s ]
[ 2013-12-18T16:10:03+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | SQL: SELECT `alias` FROM `m_category` WHERE ( `id` = '18010' ) LIMIT 1  [ RunTime:0.000242s ]
[ 2013-12-18T16:10:03+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | SQL: SELECT * FROM `m_categorys` WHERE id=18010 LIMIT 1  [ RunTime:0.000509s ]
