[ 2013-12-27T15:42:07+08:00 ] /skybroad/ | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001774s ]
[ 2013-12-27T15:42:07+08:00 ] /skybroad/ | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000279s ]
[ 2013-12-27T15:42:07+08:00 ] /skybroad/ | SQL: SHOW COLUMNS FROM `m_advert` [ RunTime:0.001462s ]
[ 2013-12-27T15:42:07+08:00 ] /skybroad/ | SQL: SELECT * FROM `m_advert` ORDER BY id asc LIMIT 5  [ RunTime:0.000368s ]
[ 2013-12-27T15:42:15+08:00 ] /skybroad/index.php/Mobile/Ajaxload/index_advajaxload?_=1388130131394 | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001863s ]
[ 2013-12-27T15:42:15+08:00 ] /skybroad/index.php/Mobile/Ajaxload/index_advajaxload?_=1388130131394 | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000305s ]
[ 2013-12-27T15:42:15+08:00 ] /skybroad/index.php/Mobile/Ajaxload/index_advajaxload?_=1388130131394 | SQL: SHOW COLUMNS FROM `m_advert` [ RunTime:0.001406s ]
[ 2013-12-27T15:42:15+08:00 ] /skybroad/index.php/Mobile/Ajaxload/index_advajaxload?_=1388130131394 | SQL: SELECT * FROM `m_advert` ORDER BY id asc LIMIT 5  [ RunTime:0.000313s ]
[ 2013-12-27T15:42:15+08:00 ] /skybroad/index.php/Mobile/Ajaxload/index_advajaxload?_=1388130131394 | NOTIC: [8] Undefined variable: str AjaxloadAction.class.php 第 65 行.
[ 2013-12-27T15:42:34+08:00 ] /skybroad/ | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001381s ]
[ 2013-12-27T15:42:34+08:00 ] /skybroad/ | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000269s ]
[ 2013-12-27T15:42:34+08:00 ] /skybroad/ | SQL: SHOW COLUMNS FROM `m_advert` [ RunTime:0.001154s ]
[ 2013-12-27T15:42:34+08:00 ] /skybroad/ | SQL: SELECT * FROM `m_advert` ORDER BY id asc LIMIT 5  [ RunTime:0.000277s ]
[ 2013-12-27T15:42:35+08:00 ] /skybroad/ | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001402s ]
